yildiz,Kategori,oyuncular,yonetmen
6.8,Yabancı ,"Billy Zane, Danny Trejo, James Russo, Johnny Messner",Justin Lee
9.4,Macera ,"Cate Blanchett, Harrison Ford, Karen Allen, Shia LaBeouf",Steven Spielberg
7.9,Bilim Kurgu ,"Konstantin Bogomolov, Oleg Badyu, Sergey Garmash, Yuriy Borisov",Fedor Bondarchuk
9.4,Fantastik ,"Dwayne Johnson, Jack Black, Karen Gillan, Kevin Hart",Jake Kasdan
9.2,Bilim Kurgu ,"Ali Larter, Iain Glen, Milla Jovovich, Oded Fehr",Russell Mulcahy
9.3,Bilim Kurgu ,"Brad Pitt, Daniella Kertesz, James Badge Dale, Mireille Enos",Marc Forster
8.7,Dram ,"Alisha Bailey, Donald Sutherland, Joe Anderson, William Baldwin",Gonzalo López-Gallego
8.5,Bilim Kurgu ,"Martin Freeman, Nick Frost, Rosamund Pike, Simon Pegg",Edgar Wright
9.5,Bilim Kurgu ,"Dev Patel, Hugh Jackman, Sharlto Copley, Sigourney Weaver",Neill Blomkamp
9.5,Bilim Kurgu ,"James McAvoy, Jennifer Lawrence, Michael Fassbender, Nicholas Hoult",Bryan Singer
8.9,Bilim Kurgu ,"Aaron Taylor-Johnson, Bryan Cranston, Elizabeth Olsen, Ken Watanabe",Gareth Edwards
9.3,Animasyon ,"Amy Acker, Diedrich Bader, Jason Isaacs, Vanessa Marshall",Sam Liu
9.4,Komedi ,"Elizabeth Banks, Ella Balinska, Kristen Stewart, Naomi Scott",Elizabeth Banks
8.7,Gerilim ,"Betty Gilpin, Hilary Swank, Ike Barinholtz, Wayne Duvall",Craig Zobel
9.5,Bilim Kurgu ,"Bill Paxton, Brendan Gleeson, Emily Blunt, Tom Cruise",Doug Liman
9.4,Gerilim ,"Daniel Craig, Javier Bardem, Judi Dench, Naomie Harris",Sam Mendes
8.8,Biyografi ,"Domhnall Gleeson, Jesse Plemons, Sarah Wright, Tom Cruise",Doug Liman
9.3,Bilim Kurgu ,"Amanda Peet, Chiwetel Ejiofor, John Cusack, Thandie Newton",Roland Emmerich
9.5,Fantastik ,"Ben Foster, Dominic Cooper, Paula Patton, Travis Fimmel",Duncan Jones
9.0,Dram ,"Ane Dahl Torp, Edith Haagenrud-Sande, Jonas Hoff Oftebro, Kristoffer Joner",Roar Uthaug
9.3,Biyografi ,"Alexandra Maria Lara, Chris Hemsworth, Daniel Brühl, Olivia Wilde",Ron Howard
9.3,Fantastik ,"Hugh Jackman, Kate Beckinsale, Richard Roxburgh, Shuler Hensley",Stephen Sommers
9.0,Dram ,"Claes Bang, Donald Sutherland, Elizabeth Debicki, Mick Jagger",Giuseppe Capotondi
9.6,Bilim Kurgu ,"Dwayne Johnson, Jeffrey Dean Morgan, Malin Akerman, Naomie Harris",Brad Peyton
9.5,Dram ,"Alexandra Daddario, Carla Gugino, Colton Haynes, Dwayne Johnson",Brad Peyton
9.4,Bilim Kurgu ,"Bingbing Li, Cliff Curtis, Jason Statham, Rainn Wilson",Jon Turteltaub
8.7,Yabancı ,Ivan Shakhnazarov,Artyom Aksenenko
9.3,Dram ,"Charlize Theron, Jae Head, Jason Bateman, Will Smith",Peter Berg
9.3,Gerilim ,"Damien Marzette, Lucas Black, Shad Moss, Zachery Ty Bryan",Justin Lin
9.6,Bilim Kurgu ,"Josh Brolin, Julian Dennison, Morena Baccarin, Ryan Reynolds",David Leitch
9.1,Bilim Kurgu ,"Chris Hemsworth, Kumail Nanjiani, Rebecca Ferguson, Tessa Thompson",F. Gary Gray
9.2,Bilim Kurgu ,"Karl Urban, Lena Headey, Olivia Thirlby, Rachel Wood",Pete Travis
9.3,Gerilim ,"Richard Jenkins, Rosamund Pike, Tom Cruise, Werner Herzog",Christopher McQuarrie
9.5,Biyografi ,"Domhnall Gleeson, Leonardo DiCaprio, Tom Hardy, Will Poulter",Alejandro G. Iñárritu
8.0,Bilim Kurgu ,"Ana de Armas, Dave Bautista, Harrison Ford, Ryan Gosling",Denis Villeneuve
9.6,Bilim Kurgu ,"Boyd Holbrook, Dafne Keen, Hugh Jackman, Patrick Stewart",James Mangold
9.5,Bilim Kurgu ,"Amr Waked, Min-sik Choi, Morgan Freeman, Scarlett Johansson",Luc Besson
7.4,Bilim Kurgu ,"Amy Manson, Dominic Mafham, James Weber Brown, Luke Allen-Gale",Tony Giglio
9.3,Blu Ray ,"Alfred Molina, Ben Kingsley, Gemma Arterton, Jake Gyllenhaal",Mike Newell
9.3,Bilim Kurgu ,"Hayden Christensen, Jamie Bell, Rachel Bilson, Samuel L. Jackson",Doug Liman
8.9,Bilim Kurgu ,"Carrie Fisher, Daisy Ridley, John Boyega, Mark Hamill",Rian Johnson
9.6,Bilim Kurgu ,"Cate Blanchett, Chris Hemsworth, Mark Ruffalo, Tom Hiddleston",Taika Waititi
9.5,Bilim Kurgu ,"Bryce Dallas Howard, Chris Pratt, Justice Smith, Rafe Spall",J.A. Bayona
7.4,Bilim Kurgu ,"James McAvoy, Jennifer Lawrence, Michael Fassbender, Nicholas Hoult",Simon Kinberg
9.1,Fantastik ,"Andy Lau, Matt Damon, Tian Jing, Willem Dafoe",Yimou Zhang
9.2,Fantastik ,"Kate Beckinsale, Lara Pulver, Theo James, Tobias Menzies",Anna Foerster
8.8,Fantastik ,"Doug Jones, John Alexander, Ron Perlman, Selma Blair",Guillermo del Toro
9.3,Fantastik ,"Gil Birmingham, Kristen Stewart, Robert Pattinson, Taylor Lautner",Bill Condon
9.2,Bilim Kurgu ,"Andrea Riseborough, Morgan Freeman, Olga Kurylenko, Tom Cruise",Joseph Kosinski
7.3,Komedi ,"Jamie Nelson, Mark Robokoff, Shane Mitchell, Wayne Mitchell",G. Logan Dellinger
9.5,Macera ,"Jurnee Smollett-Bell, Margot Robbie, Mary Elizabeth Winstead, Rosie Perez",Cathy Yan
9.5,Bilim Kurgu ,"Daria Strokous, Gwyneth Paltrow, Josie Ho, Tien You Chui",Steven Soderbergh
8.7,Bilim Kurgu ,"Belinda McClory, David Arquette, Jackson Gallagher, Kendal Rae",Dee McLachlan
9.5,Bilim Kurgu ,"Adam Driver, Daisy Ridley, Domhnall Gleeson, Keri Russell",J.J. Abrams
9.7,Hint ,"Aamir Khan, Amitabh Bachchan, Fatima Sana Shaikh, Katrina Kaif",Vijay Krishna Acharya
9.5,Bilim Kurgu ,"Eiza González, Sam Heughan, Talulah Riley, Vin Diesel",Dave Wilson
9.6,Bilim Kurgu ,"Ben Mendelsohn, Lena Waithe, Olivia Cooke, Tye Sheridan",Steven Spielberg
9.6,Bilim Kurgu ,"Christoph Waltz, Jennifer Connelly, Mahershala Ali, Rosa Salazar",Robert Rodriguez
9.4,Bilim Kurgu ,"Hugh Jackman, Ian McKellen, James McAvoy, Patrick Stewart",Bryan Singer
9.0,Bilim Kurgu ,"David James, Jason Cope, Nathalie Boltt, Sharlto Copley",Neill Blomkamp
8.9,Gerilim ,"Nandamuri Kalyan Ram, Nassar, Nivetha Thomas, Shalini Pandey",K.V. Guhan
9.1,Bilim Kurgu ,"Christian Bale, Emily Watson, Sean Bean, Taye Diggs",Kurt Wimmer
9.6,Komedi ,"Betty Gilpin, RonReaco Lee, Taraji P. Henson, Terrence Little Gardenhigh",Michael Dowse
9.6,Bilim Kurgu ,"Chris Pratt, Dave Bautista, Vin Diesel, Zoe Saldana",James Gunn
9.3,Bilim Kurgu ,"Chris Pine, Connie Nielsen, Gal Gadot, Robin Wright",Patty Jenkins
9.3,Blu Ray ,"Jake Gyllenhaal, Jeffrey Wright, Michelle Monaghan, Vera Farmiga",Duncan Jones
9.3,Bilim Kurgu ,"Colm Feore, Judi Dench, Thandie Newton, Vin Diesel",David Twohy
7.4,Dram ,"Brian O'Halloran, Cathy Moriarty, Nicholas Turturro, Sherilyn Fenn",Spencer T. Folmar
9.0,Dram ,"Aaron Paul, Kristen Harris, Mary Elizabeth Winstead, Scoot McNairy",Christopher Cantwell
8.5,Romantik ,"Haru Kuroki, Hidetoshi Nishijima, Hirofumi Arai, Jun'ichi Okada",Daisaku Kimura
7.7,Gerilim ,"Enrique Arce, Eric da Silva, Francisco Menezes, Luis Ismael",Luis Ismael
7.9,Yabancı ,"Jerry Chesser, Jezibell Anat, Karl Bishop, William Adams",Christopher Forbes
9.2,Aksiyon ,"Chloe Coleman, Dave Bautista, Kristen Schaal, Parisa Fitz-Henley",Peter Segal
9.4,Blu Ray ,"Geoffrey Rush, Johnny Depp, Keira Knightley, Orlando Bloom",Gore Verbinski
9.1,Bilim Kurgu ,"Billy Connolly, Frances O'Connor, Gerard Butler, Paul Walker",Richard Donner
9.0,Dram ,"Gippy Grewal, Neha Sharma, Roshan Prince, Vikramjeet Virk",Rakesh Mehta
9.4,Bilim Kurgu ,"Cara Delevingne, Clive Owen, Dane DeHaan, Rihanna",Luc Besson
6.9,Bilim Kurgu ,"Bob Thompson, Brian Kirwin, Bryan G. Thompson, Frances Mitchell",Bryan G. Thompson
8.3,Bilim Kurgu ,"Anthony Jensen, Gina Vitori, Joel Berti, Matthew Pohlkamp",Rob Pallatina
9.7,Biyografi ,"Chris Collins, Donnie Yen, Kwok-Kwan Chan, Scott Adkins, Vanness Wu",Wilson Yip
9.1,Aksiyon ,"Adam Pally, Ken Marino, Seth Carr, Tichina Arnold",Jay Karas
9.4,Blu Ray ,"Jack Davenport, Johnny Depp, Keira Knightley, Orlando Bloom",Gore Verbinski
9.5,Bilim Kurgu ,"Alexander Ludwig, AnnaSophia Robb, Carla Gugino, Dwayne Johnson",Andy Fickman
9.4,Bilim Kurgu ,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield",James Cameron
9.7,Bilim Kurgu ,"Arnold Schwarzenegger, Edward Furlong, Linda Hamilton, Robert Patrick",James Cameron
9.5,Bilim Kurgu ,"Arnold Schwarzenegger, Claire Danes, Kristanna Loken, Nick Stahl",Jonathan Mostow
9.6,Animasyon ,"Grey Griffin, Jennifer Carpenter, Joel McHale, Kevin Michael Richardson",Ethan Spaulding
6.9,Bilim Kurgu ,"John James, Mark 'Woody' Keppel, Maxwell Caulfield, Ryan Wesen",David Giancola
9.5,Bilim Kurgu ,"Alan Tudyk, Bridget Moynahan, James Cromwell, Will Smith",Alex Proyas
8.2,Bilim Kurgu ,"Ailén Mazioni, Dady Brieva, Fabio Alberti, Peter Lanzani",Mariano Cohn
9.7,Gerilim ,"Dwayne Johnson, Jason Statham, Paul Walker, Vin Diesel",James Wan
9.6,Gerilim ,"Dwayne Johnson, Jason Statham, Michelle Rodriguez, Vin Diesel",F. Gary Gray
9.4,Blu Ray ,"Geoffrey Rush, Johnny Depp, Keira Knightley, Orlando Bloom",Gore Verbinski
9.1,Blu Ray ,"Geoffrey Rush, Ian McShane, Johnny Depp, Penélope Cruz",Rob Marshall
9.2,Bilim Kurgu ,"Hera Hilmar, Hugo Weaving, Jihae, Robert Sheehan",Christian Rivers
9.0,Dram ,"Jessica Henwick, Kristen Stewart, T.J. Miller, Vincent Cassel",William Eubank
8.9,Dram ,"Bruce Willis, Camila Morrone, Elisabeth Shue, Vincent D'Onofrio",Eli Roth
9.4,Bilim Kurgu ,"Chadwick Boseman, Danai Gurira, Lupita Nyong'o, Michael B. Jordan",Ryan Coogler
8.9,Gerilim ,"Jonathan Banks, Liam Neeson, Patrick Wilson, Vera Farmiga",Jaume Collet-Serra
8.3,Fantastik ,"Chloe Clark, Donny Boaz, Jason Gerhardt, Kelly Patton",Danny Carrales
7.6,Gerilim ,"Anna Tomic, Jade Michael LaFont, Mel Heflin, Tony Brown",Mark Polonia
8.2,Gerilim ,"Eriq Ebouaney, Sami Bouajila, Samy Seghir, Sofia Lesaffre",Julien Leclercq
9.6,Gerilim ,"Halle Berry, Ian McShane, Keanu Reeves, Laurence Fishburne",Chad Stahelski
9.5,Bilim Kurgu ,"Anthony Hopkins, Josh Duhamel, Laura Haddock, Mark Wahlberg",Michael Bay
8.8,Blu Ray ,"Jeremy Renner, Paula Patton, Simon Pegg, Tom Cruise",Brad Bird
9.6,Bilim Kurgu ,"Amber Heard, Jason Momoa, Patrick Wilson, Willem Dafoe",James Wan
9.6,Aksiyon ,"Cate Blanchett, Craig Ferguson, Gerard Butler, Jay Baruchel",Dean DeBlois
9.1,Bilim Kurgu ,"Blake Lively, Mark Strong, Peter Sarsgaard, Ryan Reynolds",Martin Campbell
9.5,Bilim Kurgu ,"Benedict Cumberbatch, Benedict Wong, Chiwetel Ejiofor, Rachel McAdams",Scott Derrickson
9.6,Dram ,"Ahu Türkpençe, Caglar Ertugrul, Murat Serezli, Ufuk Bayraktar",Alper Caglar
9.5,Bilim Kurgu ,"Jared Leto, Margot Robbie, Viola Davis, Will Smith",David Ayer
9.6,Bilim Kurgu ,"Ed Skrein, Morena Baccarin, Ryan Reynolds, T.J. Miller",Tim Miller
9.0,Bilim Kurgu ,"David Harbour, Ian McShane, Milla Jovovich, Sasha Lane",Neil Marshall
8.9,Dram ,"Bailey Anne Borders, Chloë Grace Moretz, Gabriela Lopez, Matthew Zuk",J Blakeson
9.4,Bilim Kurgu ,"Abbie Cornish, Alexandra Maria Lara, Gerard Butler, Jim Sturgess",Dean Devlin
9.4,Bilim Kurgu ,"Amy Adams, Ben Affleck, Gal Gadot, Henry Cavill",Zack Snyder
9.4,Bilim Kurgu ,"Brie Larson, John C. Reilly, Samuel L. Jackson, Tom Hiddleston",Jordan Vogt-Roberts
9.2,Gerilim ,"Ana de Armas, Freddie Thorp, Gaia Weiss, Scott Eastwood",Antonio Negret
8.1,Dram ,"Aneurin Barnard, Damien Bonnard, Fionn Whitehead, Lee Armstrong",Christopher Nolan
9.4,Gerilim ,"Jared Harris, Jude Law, Rachel McAdams, Robert Downey Jr.",Guy Ritchie
9.4,Aksiyon ,"Daniel J. Edwards, James Carter Cathcart, Kiyotaka Furushima, Megumi Hayashibara",Kunihiko Yuyama
8.7,Dram ,"Laura Dern, Liam Neeson, Michael Eklund, Micheál Richardson",Hans Petter Moland
9.3,Dram ,"Ed Harris, Joel Kinnaman, Liam Neeson, Vincent D'Onofrio",Jaume Collet-Serra
8.8,Dram ,"Anthony Mackie, Dwayne Johnson, Mark Wahlberg, Tony Shalhoub",Michael Bay
9.5,Biyografi ,"Ben Whishaw, Brendan Gleeson, Chris Hemsworth, Cillian Murphy",Ron Howard
9.4,Dram ,"Astrid Bergès-Frisbey, Charlie Hunnam, Djimon Hounsou, Jude Law",Guy Ritchie
8.2,Biyografi ,"Angelina Jolie, Anthony Hopkins, David Bedella, Jessie Kamm",Oliver Stone
9.7,Yabancı ,"Chris Hemsworth, David Harbour, Golshifteh Farahani, Rudhraksh Jaiswal",Sam Hargrave
8.8,Komedi ,"Demián Bichir, Marlon Wayans, Melissa McCarthy, Sandra Bullock",Paul Feig
9.3,Komedi ,"Du-shim Ko, In-hwan Park, Jung-suk Jo, Yoon-ah Im",Sang Geun Lee
8.8,Dram ,"Famke Janssen, Jacqueline Bisset, Marta Milans, Ron Perlman",Michael Caton-Jones
7.3,Gerilim ,"Michael Socha, MyAnna Buring, Rhyon Nicole Brown, Tommy Flanagan",Martin Owen
9.5,Fantastik ,"Dwayne Johnson, Jack Black, Karen Gillan, Madison Iseman, Marin Hinkle",Jake Kasdan
8.3,Gerilim ,"Denis Arndt, Keith David, Matt Bushell, Nicholas Gonzalez",James Dodson
8.8,Gerilim ,"Ayelet Zurer, Ewan McGregor, Stellan Skarsgård, Tom Hanks",Ron Howard
8.7,Animasyon ,"Angelina Jolie, Anthony Hopkins, Crispin Glover, Ray Winstone, Robin Wright",Robert Zemeckis
9.0,Bilim Kurgu ,"Dax Shepard, Jonah Bobo, Josh Hutcherson, Kristen Stewart",Jon Favreau
9.4,Biyografi ,"Clarke Peters, Cynthia Erivo, Joe Alwyn, Leslie Odom Jr.",Kasi Lemmons
8.9,Bilim Kurgu ,"Aaron Eckhart, Bridget Moynahan, Michelle Rodriguez, Ramon Rodriguez, Will Rothhaar",Jonathan Liebesman
8.9,Gerilim ,"Anatoli Davydov, Antonio Banderas, Julianne Moore, Sylvester Stallone",Richard Donner
9.0,Bilim Kurgu ,"Ian McShane, Jason Statham, Joan Allen, Tyrese Gibson",Paul W.S. Anderson
8.5,Fantastik ,"Eva Mendes, Matt Long, Nicolas Cage, Sam Elliott",Mark Steven Johnson
9.0,Gerilim ,"Cam Gigandet, Karl Urban, Maggie Q, Paul Bettany",Scott Stewart
9.3,Bilim Kurgu ,"Britt Robertson, George Clooney, Hugh Laurie, Raffey Cassidy",Brad Bird
8.8,Dram ,"John Malkovich, Josh Brolin, Megan Fox, Michael Fassbender",Jimmy Hayward
9.2,Bilim Kurgu ,"Jacqueline McKenzie, Saffron Burrows, Samuel L. Jackson, Thomas Jane",Renny Harlin
8.7,Aksiyon ,"Jessica Alba, Joel McHale, Mason Cook, Rowan Blanchard",Robert Rodriguez
9.4,Fantastik ,"Djimon Hounsou, Keanu Reeves, Rachel Weisz, Shia LaBeouf",Francis Lawrence
8.8,Gerilim ,"Carlo Rota, Gia Sandhu, Kathleen Munroe, William Forsythe",Jesse D. Ikeman
7.6,Gerilim ,"Allisyn Snyder, Dave Davis, Michael Papajohn, Ross Britz",Misty Talley
8.4,Dram ,"Diego Luna, Erin Moriarty, Mel Gibson, Michael Parks",Jean-François Richet
9.5,Dram ,"Eva Green, Hans Matheson, Lena Headey, Sullivan Stapleton",Noam Murro
9.1,Fantastik ,"Asher Angel, Jack Dylan Grazer, Mark Strong, Zachary Levi",David F. Sandberg
8.9,Aksiyon ,"Alex MacNicoll, Alex Neustaedter, Becky G, Dominic Rains",Oliver Daly
8.6,Komedi ,"Jordan Peele, Keegan-Michael Key, Method Man, Tiffany Haddish",Peter Atencio
8.6,Gerilim ,"Don Cheadle, Halle Berry, Hugh Jackman, John Travolta",Dominic Sena
9.4,Bilim Kurgu ,"Ali Larter, Iain Glen, Milla Jovovich, Shawn Roberts",Paul W.S. Anderson
8.4,Gerilim ,"Angelababy, Keith Collea, Kun Chen, Qi Shu",Wuershan
8.8,Gerilim ,"Chris Brown, Hayden Christensen, Matt Dillon, Michael Ealy",John Luessenhop
8.4,Dram ,"Blake Lively, Daniel Mays, Jude Law, Sterling K. Brown",Reed Morano
9.3,Dram ,"Hiroyuki Sanada, Keanu Reeves, Ko Shibasaki, Tadanobu Asano",Carl Rinsch
9.1,Dram ,"Donald Sutherland, Esther Purves-Smith, Kiefer Sutherland, Lex Cassar",Jon Cassar
8.7,Gerilim ,"Ben Foster, Donald Sutherland, Jason Statham, Tony Goldwyn",Simon West
9.6,Gerilim ,"Jason Statham, Jessica Alba, Michelle Yeoh, Tommy Lee Jones",Dennis Gansel
9.3,Bilim Kurgu ,"David Denman, Jaden Smith, Sophie Okonedo, Will Smith",M. Night Shyamalan
9.0,Fantastik ,"Claire Foy, Nicolas Cage, Ron Perlman, Stephen Campbell Moore, Stephen Graham",Dominic Sena
9.2,Gerilim ,"Izabela Vidovic, James Franco, Jason Statham, Kate Bosworth, Winona Ryder",Gary Fleder
9.2,Bilim Kurgu ,"Aaron Eckhart, Bill Nighy, Miranda Otto, Virginie Le Brun",Stuart Beattie
7.1,Bilim Kurgu ,"João Vilas, Maria Leite, Mário Oliveira, Pedro Barão Dias",Fernando Alle
8.3,Macera ,"Joaquim de Almeida, Mark Aaron, Marta Castellví, Sebastián Fernández",Jose Magan
6.4,Hint ,"Abhijit Bhattacharya, Arnab Bhadra, Biswarup Biswas, Tananya Bhattacharyya",Anshuman Pratyush
9.4,Fantastik ,"Casey Kasem, Frank Welker, Grey Griffin, Mindy Cohn",Christopher Berkeley
9.7,Gerilim ,"Jackie Chan, Ken Leung, Tom Wilkinson, Tzi Ma",Brett Ratner
9.7,Gerilim ,"Chris Tucker, Jackie Chan, John Lone, Ziyi Zhang",Brett Ratner
8.9,Bilim Kurgu ,"Bruce Boxleitner, Garrett Hedlund, Jeff Bridges, Olivia Wilde",Joseph Kosinski
9.0,Suç ,"Ben Affleck, Colin Farrell, Jennifer Garner, Michael Clarke Duncan",Mark Steven Johnson
8.8,Bilim Kurgu ,"Heath C. Heine, Motown Maurice, Ruben Pla, Tarkan Dospil",Hank Braxtan
7.7,Dram ,"David Strathairn, Jeffrey Dean Morgan, Julian Feder, Julie Ann Emery",Tom Wright
9.3,Yabancı ,"Danner Boyd, Joseph Camilleri, Michael Cendejas, Michael Paré",Rene Perez
9.0,Fantastik ,"Jeff Bridges, Kevin Bacon, Mary-Louise Parker, Ryan Reynolds",Robert Schwentke
8.8,Macera ,"Ella-June Henrard, Joren Seldeslachts, Koen De Bouw, Thure Riefenstein",Sven Huybrechts
8.9,Aksiyon ,"Ben Barnes, Georgie Henley, Skandar Keynes, William Moseley",Andrew Adamson
8.4,Bilim Kurgu ,"Amber Heard, Billy Burke, Nicolas Cage, William Fichtner",Patrick Lussier
8.7,Bilim Kurgu ,"Chris Evans, Ed Harris, Jamie Bell, Tilda Swinton",Bong Joon Ho
9.2,Gerilim ,"Jason Statham, Jennifer Lopez, Michael Chiklis, Nick Nolte",Taylor Hackford
8.5,Bilim Kurgu ,"Camilla Belle, Chris Evans, Colin Ford, Dakota Fanning",Paul McGuigan
8.5,Yabancı ,"Dilan Jay, Jay Mohr, JuJu Chan, Luke Goss",Daniel Zirilli
